fold,observation,prediction
3.0,0.0254083334002643,0.00933578610420227
2.0,0.0244000000723947,0.014497481286525726
3.0,0.0242999998930221,0.01054731011390686
1.0,0.0240395832418774,0.015820831060409546
1.0,0.0241541665745899,0.006912663578987122
3.0,0.0230270830215886,0.008322760462760925
4.0,0.0221020834287628,0.01080949604511261
4.0,0.0217958336773639,0.009143054485321045
5.0,0.0214812498694906,0.007533714175224304
4.0,0.0205937499413267,0.007263094186782837
1.0,0.171075000117222,0.1447012722492218
2.0,0.157729166870316,0.0824318677186966
2.0,0.161787499984105,0.054086387157440186
2.0,0.136520832156142,0.08380668610334396
4.0,0.10317916671435,0.0979321151971817
2.0,0.171533333758513,0.16596217453479767
2.0,0.126358333975077,0.06995248794555664
5.0,0.108658333308995,0.07028287649154663
5.0,0.069375000273188,0.05141086131334305
1.0,0.0472416665094594,0.04333028197288513
4.0,0.0417583342641592,0.10024519264698029
1.0,0.0372458330045144,0.04338863492012024
2.0,0.0322083334128062,0.029938705265522003
3.0,0.0290999997717639,0.07251574844121933
1.0,0.0279499997850507,0.0398486852645874
4.0,0.163166667024295,0.11415283381938934
1.0,0.0987041667103767,0.0426502525806427
2.0,0.104120834109684,0.1331140100955963
2.0,0.0655999998562038,0.10556632280349731
1.0,0.174145833278696,0.12935587763786316
5.0,0.16415454515002,0.1329990029335022
4.0,0.158583333094915,0.08439996838569641
4.0,0.115387500574191,0.09698888659477234
3.0,0.0870208336661259,0.0651167705655098
5.0,0.113047826225343,0.16338297724723816
3.0,0.0854999997342626,0.07101070880889893
5.0,0.125129165438314,0.17510733008384705
2.0,0.0843875004599492,0.13108786940574646
3.0,0.170187499995033,0.18851524591445923
5.0,0.145299999664227,0.16951927542686462
2.0,0.123829167336226,0.13656960427761078
3.0,0.16240833265086,0.17277127504348755
4.0,0.137870833898584,0.14421486854553223
5.0,0.164624999587735,0.16547229886054993
4.0,0.187637501085798,0.1661302149295807
4.0,0.176791667317351,0.19191381335258484
1.0,0.194670832405488,0.18627186119556427
4.0,0.199020834018787,0.1489619016647339
3.0,0.174199999620517,0.16807866096496582
3.0,0.198887499670188,0.14980411529541016
2.0,0.182154166822632,0.1651245355606079
5.0,0.199108335499962,0.16796082258224487
5.0,0.191341667125622,0.20663639903068542
1.0,0.205833333854874,0.1897604614496231
3.0,0.204583333805203,0.19318218529224396
4.0,0.164583331594865,0.18782927095890045
5.0,0.170816665515304,0.1746467649936676
5.0,0.198008334264159,0.19033131003379822
5.0,0.196395833666126,0.1847483217716217
1.0,0.187575000648697,0.17871339619159698
1.0,0.200245832403501,0.19381050765514374
3.0,0.168566666543484,0.15390805900096893
5.0,0.145295832306147,0.15524233877658844
1.0,0.19311666674912,0.18898612260818481
3.0,0.19396666623652,0.13555221259593964
3.0,0.179741667583585,0.17002630233764648
3.0,0.200050000101328,0.15659570693969727
1.0,0.185390909287063,0.18435198068618774
1.0,0.175750000402331,0.16870728135108948
1.0,0.15097083337605,0.15322086215019226
1.0,0.107916666815678,0.10507982969284058
3.0,0.0874416663621863,0.07613587379455566
5.0,0.078912499671181,0.11087130010128021
5.0,0.0620666667819023,0.09397871047258377
4.0,0.0593833330397805,0.12284302711486816
2.0,0.0510541663194696,0.07789073884487152
5.0,0.0461374999334415,0.060644373297691345
5.0,0.0399333333286146,0.054747819900512695
1.0,0.0235750000768652,0.02804158627986908
5.0,0.0221916666875283,0.023356959223747253
4.0,0.0215249999891967,0.011554047465324402
1.0,0.0200499998560796,0.023431003093719482
5.0,0.0186291666856656,0.019983895123004913
1.0,0.0180333335883915,0.018753409385681152
3.0,0.0171791667429109,0.011506512761116028
1.0,0.0165583333000541,0.01860371232032776
5.0,0.016033333260566,0.013664446771144867
2.0,0.0133124999701977,0.01244133710861206
3.0,0.0127458333736286,0.00896383821964264
1.0,0.0123291667162751,0.005084574222564697
2.0,0.0118958333817621,0.010766349732875824
1.0,0.011387500174654,0.00744996964931488
4.0,0.0107041668379679,0.009185239672660828
3.0,0.0106833334236095,0.012277111411094666
5.0,0.0107083334975565,0.005155622959136963
5.0,0.0108041667457049,0.007154494524002075
2.0,0.0102874999477838,0.009328797459602356
5.0,0.0100333334024375,0.005896352231502533
2.0,0.009637500004222,0.006589032709598541
4.0,0.0100125001044944,0.00810481607913971
4.0,0.0099166665847102,0.08229029178619385
1.0,0.0104291667230427,0.016551807522773743
5.0,0.0099541666374231,0.011237308382987976
3.0,0.009783333283849,0.009835407137870789
2.0,0.0095875000115484,0.018678754568099976
4.0,0.111308333463967,0.0607239305973053
1.0,0.114670833262304,0.0828251764178276
3.0,0.113912499509752,0.08463247120380402
